# psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,z
1.800537999999999883e+01,1.584712000000000032e+01,1.502537000000000056e+01,1.472652000000000072e+01,1.455700000000000038e+01,1.798552999999999713e+01,1.584048999999999907e+01,1.501277000000000150e+01,1.470650999999999975e+01,1.454362999999999850e+01,1.803386000000000067e+01,1.588555000000000028e+01,1.505855999999999995e+01,1.476599999999999824e+01,1.460021000000000058e+01,1.207387999999999967e-04
2.031553999999999860e+01,1.909189999999999898e+01,1.858853999999999829e+01,1.837274000000000029e+01,1.829662000000000077e+01,2.030705000000000027e+01,1.908521000000000001e+01,1.859459000000000017e+01,1.838035999999999959e+01,1.830225000000000080e+01,2.029044000000000025e+01,1.911997000000000213e+01,1.865925000000000011e+01,1.844892999999999716e+01,1.842582000000000164e+01,4.655887999999999628e-04
2.098948000000000036e+01,2.007526999999999973e+01,1.976749999999999829e+01,1.962509999999999977e+01,1.959424999999999883e+01,2.098977999999999966e+01,2.008010000000000161e+01,1.973263999999999996e+01,1.960096000000000060e+01,1.957906000000000191e+01,2.102699999999999747e+01,2.016521000000000186e+01,1.976121000000000194e+01,1.965148999999999901e+01,1.964733999999999980e+01,-6.134756999999999580e-04
2.113573999999999842e+01,1.911636999999999986e+01,1.801533999999999835e+01,1.746362000000000236e+01,1.707606000000000179e+01,2.111944000000000088e+01,1.912461000000000055e+01,1.801546000000000092e+01,1.746607999999999805e+01,1.709367999999999910e+01,2.081915000000000049e+01,1.920384999999999920e+01,1.809397999999999840e+01,1.753687000000000040e+01,1.721469000000000094e+01,5.564506999999999648e-01
2.014124999999999943e+01,1.841890000000000072e+01,1.757342999999999833e+01,1.721577999999999875e+01,1.686077999999999832e+01,1.919613999999999976e+01,1.735535000000000139e+01,1.649615999999999971e+01,1.606984999999999886e+01,1.576407000000000203e+01,1.927243999999999957e+01,1.736987000000000236e+01,1.651481000000000066e+01,1.609398999999999802e+01,1.578170000000000073e+01,6.166453000000000212e-02
1.985848999999999975e+01,1.905735999999999919e+01,1.873872000000000071e+01,1.865053999999999945e+01,1.859801000000000215e+01,1.987767000000000195e+01,1.904895000000000138e+01,1.874211000000000027e+01,1.865203999999999951e+01,1.859534000000000020e+01,2.002463999999999800e+01,1.905454999999999899e+01,1.876613000000000042e+01,1.868264999999999887e+01,1.866890000000000072e+01,-1.384355999999999998e-04
1.744953999999999894e+01,1.532957000000000036e+01,1.454439999999999955e+01,1.430034999999999989e+01,1.418469999999999942e+01,1.743956000000000017e+01,1.532508999999999943e+01,1.454657000000000089e+01,1.431767999999999930e+01,1.421487000000000123e+01,1.746857999999999933e+01,1.536214999999999975e+01,1.458750000000000036e+01,1.435273999999999894e+01,1.424383999999999872e+01,-6.734663000000000541e-05
2.333380999999999972e+01,2.295011000000000223e+01,2.121424000000000021e+01,2.016805000000000092e+01,1.963119999999999976e+01,2.291578999999999766e+01,2.244774999999999920e+01,2.069800000000000040e+01,1.961781000000000219e+01,1.908343999999999951e+01,2.370195000000000007e+01,2.249478999999999829e+01,2.073004999999999853e+01,1.961547000000000196e+01,1.920427000000000106e+01,5.919746000000000175e-01
2.008482000000000056e+01,1.919235000000000113e+01,1.895148000000000010e+01,1.873019000000000034e+01,1.871342000000000283e+01,2.006521000000000043e+01,1.916657999999999973e+01,1.890712000000000259e+01,1.871907999999999817e+01,1.867407000000000039e+01,2.016208999999999918e+01,1.920514000000000010e+01,1.896435999999999922e+01,1.882103999999999999e+01,1.868978999999999857e+01,-2.432202000000000062e-04
2.025319000000000003e+01,1.928892000000000095e+01,1.895452999999999832e+01,1.881879999999999953e+01,1.877538999999999803e+01,2.023568999999999818e+01,1.926990999999999943e+01,1.895354999999999990e+01,1.882185000000000130e+01,1.877959999999999852e+01,2.025027000000000044e+01,1.931730999999999909e+01,1.899507000000000190e+01,1.888331000000000159e+01,1.883318999999999832e+01,-5.618258000000000106e-04
1.913341000000000136e+01,1.814495000000000147e+01,1.786505000000000010e+01,1.777416000000000196e+01,1.778912000000000049e+01,1.914748999999999768e+01,1.812856999999999985e+01,1.785376000000000118e+01,1.775754999999999839e+01,1.777681000000000111e+01,1.919849999999999923e+01,1.817192000000000007e+01,1.789114000000000004e+01,1.781054999999999922e+01,1.778073999999999799e+01,-7.355522000000000622e-04
2.492467000000000255e+01,2.322742999999999824e+01,2.191432999999999964e+01,2.089480999999999966e+01,2.009072999999999709e+01,2.475087999999999866e+01,2.265024999999999977e+01,2.127881000000000000e+01,2.023219999999999885e+01,1.948339999999999961e+01,2.223621999999999943e+01,2.272214999999999918e+01,2.118187999999999960e+01,1.991079999999999828e+01,1.909840000000000160e+01,5.404689999999999772e-01
